crop,scheme,top1_label,top1_score,clarkii_rank,clarkii_score,clarkii_is_top1,full_dist
easy_00,A,Sea anemone,0.9204,4,0.0046,False,"[[""Sea anemone"", 0.9204], [""Amphiprion ocellaris"", 0.0386], [""Amphiprion percula"", 0.0332], [""Amphiprion clarkii"", 0.0046], [""Pomacentrus moluccensis"", 0.0021], [""Coral reef"", 0.0006], [""Chromis chrysura"", 0.0003], [""Dascyllus reticulatus"", 0.0]]"
easy_01,A,Amphiprion percula,0.4329,4,0.0695,False,"[[""Amphiprion percula"", 0.4329], [""Amphiprion ocellaris"", 0.2995], [""Sea anemone"", 0.108], [""Amphiprion clarkii"", 0.0695], [""Chromis chrysura"", 0.0412], [""Pomacentrus moluccensis"", 0.0363], [""Dascyllus reticulatus"", 0.0123], [""Coral reef"", 0.0003]]"
easy_02,A,Amphiprion ocellaris,0.5395,4,0.0197,False,"[[""Amphiprion ocellaris"", 0.5395], [""Sea anemone"", 0.2366], [""Amphiprion percula"", 0.1798], [""Amphiprion clarkii"", 0.0197], [""Coral reef"", 0.0122], [""Pomacentrus moluccensis"", 0.0101], [""Chromis chrysura"", 0.0016], [""Dascyllus reticulatus"", 0.0005]]"
easy_03,A,Sea anemone,0.571,4,0.0409,False,"[[""Sea anemone"", 0.571], [""Amphiprion percula"", 0.1975], [""Amphiprion ocellaris"", 0.1683], [""Amphiprion clarkii"", 0.0409], [""Chromis chrysura"", 0.0102], [""Pomacentrus moluccensis"", 0.007], [""Dascyllus reticulatus"", 0.0039], [""Coral reef"", 0.0012]]"
easy_04,A,Amphiprion percula,0.6585,4,0.003,False,"[[""Amphiprion percula"", 0.6585], [""Amphiprion ocellaris"", 0.2464], [""Pomacentrus moluccensis"", 0.0918], [""Amphiprion clarkii"", 0.003], [""Dascyllus reticulatus"", 0.0001], [""Sea anemone"", 0.0001], [""Chromis chrysura"", 0.0], [""Coral reef"", 0.0]]"
hard_00,A,Amphiprion percula,0.7508,4,0.0042,False,"[[""Amphiprion percula"", 0.7508], [""Amphiprion ocellaris"", 0.2301], [""Pomacentrus moluccensis"", 0.0127], [""Amphiprion clarkii"", 0.0042], [""Chromis chrysura"", 0.0012], [""Sea anemone"", 0.0007], [""Dascyllus reticulatus"", 0.0002], [""Coral reef"", 0.0]]"
hard_01,A,Amphiprion percula,0.8491,4,0.0124,False,"[[""Amphiprion percula"", 0.8491], [""Amphiprion ocellaris"", 0.1023], [""Sea anemone"", 0.0338], [""Amphiprion clarkii"", 0.0124], [""Pomacentrus moluccensis"", 0.0024], [""Chromis chrysura"", 0.0], [""Dascyllus reticulatus"", 0.0], [""Coral reef"", 0.0]]"
hard_02,A,Chromis chrysura,0.3362,8,0.034,False,"[[""Chromis chrysura"", 0.3362], [""Coral reef"", 0.229], [""Amphiprion percula"", 0.1393], [""Amphiprion ocellaris"", 0.1254], [""Sea anemone"", 0.0502], [""Pomacentrus moluccensis"", 0.0468], [""Dascyllus reticulatus"", 0.0391], [""Amphiprion clarkii"", 0.034]]"
hard_03,A,Amphiprion percula,0.5776,2,0.3284,False,"[[""Amphiprion percula"", 0.5776], [""Amphiprion clarkii"", 0.3284], [""Amphiprion ocellaris"", 0.0923], [""Sea anemone"", 0.0015], [""Coral reef"", 0.0001], [""Pomacentrus moluccensis"", 0.0], [""Chromis chrysura"", 0.0], [""Dascyllus reticulatus"", 0.0]]"
hard_04,A,Pomacentrus moluccensis,0.4602,4,0.0439,False,"[[""Pomacentrus moluccensis"", 0.4602], [""Amphiprion percula"", 0.2989], [""Amphiprion ocellaris"", 0.1297], [""Amphiprion clarkii"", 0.0439], [""Chromis chrysura"", 0.0278], [""Dascyllus reticulatus"", 0.0217], [""Coral reef"", 0.017], [""Sea anemone"", 0.0009]]"
