crop_id,difficulty,scheme,condition,top1_label,top1_score,top2_label,top2_score,margin,entropy_bits
easy_00,easy,A,with,Sea anemone,0.9204,Amphiprion ocellaris,0.0386,0.8818,0.5201
easy_01,easy,A,with,Amphiprion percula,0.4329,Amphiprion ocellaris,0.2995,0.1334,2.1024
easy_02,easy,A,with,Amphiprion ocellaris,0.5395,Sea anemone,0.2366,0.3029,1.6938
easy_03,easy,A,with,Sea anemone,0.571,Amphiprion percula,0.1975,0.3735,1.7053
easy_04,easy,A,with,Amphiprion percula,0.6585,Amphiprion ocellaris,0.2464,0.4121,1.2394
hard_00,hard,A,with,Amphiprion percula,0.7508,Amphiprion ocellaris,0.2301,0.5207,0.9335
hard_01,hard,A,with,Amphiprion percula,0.8491,Amphiprion ocellaris,0.1023,0.7469,0.8016
hard_02,hard,A,with,Chromis chrysura,0.3362,Coral reef,0.229,0.1071,2.5596
hard_03,hard,A,with,Amphiprion percula,0.5776,Amphiprion clarkii,0.3284,0.2492,1.3185
hard_04,hard,A,with,Pomacentrus moluccensis,0.4602,Amphiprion percula,0.2989,0.1613,1.9884
easy_00,easy,A,without,Sea anemone,0.9247,Amphiprion ocellaris,0.0388,0.8859,0.4796
easy_01,easy,A,without,Amphiprion percula,0.4652,Amphiprion ocellaris,0.3219,0.1434,1.8683
easy_02,easy,A,without,Amphiprion ocellaris,0.5503,Sea anemone,0.2414,0.3089,1.5853
easy_03,easy,A,without,Sea anemone,0.5954,Amphiprion percula,0.2059,0.3895,1.5211
easy_04,easy,A,without,Amphiprion percula,0.6605,Amphiprion ocellaris,0.2472,0.4133,1.2133
hard_00,hard,A,without,Amphiprion percula,0.754,Amphiprion ocellaris,0.2311,0.5229,0.8979
hard_01,hard,A,without,Amphiprion percula,0.8598,Amphiprion ocellaris,0.1036,0.7563,0.714
hard_02,hard,A,without,Chromis chrysura,0.348,Coral reef,0.2371,0.1109,2.4281
hard_03,hard,A,without,Amphiprion percula,0.86,Amphiprion ocellaris,0.1375,0.7225,0.6033
hard_04,hard,A,without,Pomacentrus moluccensis,0.4813,Amphiprion percula,0.3126,0.1687,1.808
easy_00,easy,B,with,Sea anemone,0.9929,Common clownfish,0.004,0.9889,0.0735
easy_01,easy,B,with,Sea anemone,0.7751,Pacific chromis,0.1358,0.6393,1.1275
easy_02,easy,B,with,Sea anemone,0.8354,Common clownfish,0.1025,0.7329,0.8897
easy_03,easy,B,with,Sea anemone,0.9436,Pacific chromis,0.0411,0.9025,0.3902
easy_04,easy,B,with,Orange clownfish,0.525,Common clownfish,0.4615,0.0635,1.1152
hard_00,hard,B,with,Sea anemone,0.3082,Clark's anemonefish,0.2461,0.0621,2.4504
hard_01,hard,B,with,Sea anemone,0.8246,Clark's anemonefish,0.0981,0.7265,0.895
hard_02,hard,B,with,Pacific chromis,0.5293,Coral reef,0.2989,0.2305,1.793
hard_03,hard,B,with,Clark's anemonefish,0.9776,Sea anemone,0.019,0.9586,0.1724
hard_04,hard,B,with,Lemon damselfish,0.5662,Coral reef,0.1215,0.4447,1.9882
easy_00,easy,B,without,Sea anemone,0.9942,Common clownfish,0.004,0.9902,0.0591
easy_01,easy,B,without,Sea anemone,0.7805,Pacific chromis,0.1368,0.6437,1.0757
easy_02,easy,B,without,Sea anemone,0.8397,Common clownfish,0.103,0.7367,0.8481
easy_03,easy,B,without,Sea anemone,0.9451,Pacific chromis,0.0411,0.904,0.3735
easy_04,easy,B,without,Orange clownfish,0.5278,Common clownfish,0.464,0.0638,1.0731
hard_00,hard,B,without,Sea anemone,0.4088,Common clownfish,0.2748,0.134,2.1824
hard_01,hard,B,without,Sea anemone,0.9142,Common clownfish,0.074,0.8402,0.4792
hard_02,hard,B,without,Pacific chromis,0.5341,Coral reef,0.3015,0.2326,1.7349
hard_03,hard,B,without,Sea anemone,0.8513,Common clownfish,0.0926,0.7587,0.7991
hard_04,hard,B,without,Lemon damselfish,0.5722,Coral reef,0.1228,0.4494,1.9246
